Product_Category;Success;Amount;%of_Total
Espresso;66.06%;22882;42.03%
Coffee;69.75%;10041;18.44%
Tea;78.28%;7830;14.38%
Cappuccino (Time Optimized);69.67%;5202;9.55%
Milk Coffee (Time Optimized);76.40%;2708;4.97%
Ristretto;62.86%;1419;2.61%
Espresso Macchiato;81.51%;1125;2.07%
White Americano;80.88%;973;1.79%
Milk;70.10%;699;1.28%
Latte Macchiato;61.23%;668;1.23%
Milk Foam;22.00%;441;0.81%
CoffeeAndMilkCleaning;99.60%;252;0.46%
Cleaning;99.48%;193;0.35%
White Americano (Water First);75.00%;8;0.01%
